Sr No.,Questions,Bloom's Taxamony
1,CASE stands for,Remembering
2,What is Cyclomatic complexity?,Understanding
3,"When elements of module are grouped together that are executedsequentially in order to perform a task, is called ______",Understanding
4,Which of the following is the Process Improvement Model?,Remembering
5,What types of errors are not done by Black-Box Testing and can beuncovered by White-Box Testing?,Understanding
6,Which is the worst type of coupling?,Remembering
7,Cohesion is a qualitative indication of the degree to which amodule,Understanding
8,Which is not a step of Requirement Engineering?,Remembering
9,Effective software project management focuses on,Remembering
10,What do we mean by a cross-functional Development Team?  The Development Team should have all the skills necessary todeliver the Done Increment,Understanding
11,What happens when all the Sprint Items cannot be completed?,Understanding
12,Which of the following is not an agile method?,Remembering
13,The UML supports event-based modeling using ____________diagrams.,Understanding
14,Which of the following diagram is prepare for showcasing behaviorof single object?,Remembering
15,Which of the following is not obvious relationship between two taskin MS Project?,Remembering
16,Which symbol is not allowed in Context level DFD?,Remembering
17,Which of the following Calendar is not Default Colander in MSProject?,Remembering
18,A user story that is too large is broken into smaller storiescalled ____.,Remembering
19,A project's '____' state is created when all product backlog itemsare started.,Remembering
20,"What is software testing and why is it required? Differentiatebetween Black-Box testing and Structural (White-Box) Testing. How Acceptance, Alpha and Beta Testing are differing from each other?",Analyze
21,Define the roles in Scrum? Explain Agile software developmentprocess in detail. Differentiate between Scrum and Sprint.,Understanding
22,What do you mean by software maintenance? What are the differenttypes of maintenance that a software product might need?,Analyze
23,Show how the failure curve of software differs from that ofhardware. Software doesn't wear out but it deteriorates due tochange. Justify. How do software myths affect a software project?,Analyze
24,How Design Thinking will help us to solve the problem? Explainvarious stages of Design Thinking.,Apply
25,Why it is required to have certification for any Software industry?Compare CMM with ISO 9000 certification.,Evaluate
26,What is a risk? What are the risk management activities? What typesof risks are likely to encounter as software is built? How wouldyou identify the risks and how to contaminate risks from theproject?,Understanding
27,How Gantt Chart is different from PERT Chart? How to do tracking ofProject using Gantt Chart and PERT Chart? What is Baseline ofProject? How Baseline is useful in tracking activity?,Analyze
28,Which among the following represents the objectives/requirements of Data Link Layer?,Understanding
29,The Web is a______________________application-layer architecture.,Remembering
30,The address of the original IEEE 802 MAC comes from ___________.,Remembering
31,Which layer is used for wireless connection in IoT devices?,Remembering
32,"Match the classes of IP addresses with their functionalapplications

A. Class A -------------------- 1) Multicast services
B. Class B -------------------- 2) Reserved for future use
C. Class D -------------------- 3) Large organizations
D. Class E -------------------- 4) Midsize Organizations",Remembering
33,Which layer is CoAP?,Remembering
34,What does HTTP do?,Remembering
35,"When integrating internet services, XML is primarily used for:",Understanding
36,How does Software-Defined Networking (SDN) facilitate theintegration of IoT devices into a network?,Analyze
37,Which of the following is a key difference between IPv4 and IPv6?,Remembering
38,What differentiates the Web of Things (WoT) from traditional IoT?,Remembering
39,What is the primary purpose of a functional stack in IoT systems?,Understanding
40,___________ are the main components in IOT.,Remembering
41,Full form of LPWAN,Remembering
42,"In MQTT, what role does a ""broker"" play in the communicationprocess?",Understanding
43,Which of the following is a characteristic of IoT?,Remembering
44,Monitor target of the smart ________ includes sensor objects in thepower link.,Remembering
45,Which statement is TRUE with respect to the IEEE 802.15.4 standard?,Evaluate
46,Which of the following allows data processing close to device?,Remembering
47,Which of the following statements is/are correct with respect toNFC(Near Field Communication)?[a] It is a contactless communication technologythat uses electromagnetic radio fields.[b] NFC is designed for use by devices which can be at a distanceof a centimeter from each other.[c] NFC can use encryption while sending sensitive information.,Understanding
48,"Describe the concept of the ""Internet of Everything"" (IoE), and howdoes it expand upon the idea of the Internet of Things (IoT) byincorporating new elements and technologies?",Analyze
49,Differentiate between IoT and M2M technologies. Provide examplesto illustrate the differences.,Analyze
50,(ii)Enumerate and explain the essential characteristics of IoT.,Understanding
51,Elaborate on Cisco's IoT/M2M Security Framework and its role inenhancing IoT security.,Analyze
52,Explain RPL Protocol,Understanding
53,How does the 802.1X security protocol enhance network securityin the context of IoT and machine-to-machine (M2M)communication?,Analyze
54,"Discuss the key challenges in securing IoT devices, consideringboth hardware and software aspects.",Analyze
55,Describe the role of communication standards in IoT system. Docomparison between ZigBee and Wi-Fi.,Analyze
56,"Investigate an IoT application in environmental monitoring.Highlight how IoT devices and sensors are used to collect data onair quality, water quality, or climate conditions, and how thisdata is utilized for environmental protection and conservationefforts.",Analyze
57,Explain the concept of Low Energy Adaptive Clustering Hierarchy(LEACH) in IoT/M2M network architecture. Discuss its significancein extending the network lifetime and reducing energy consumption.Provide a step-by-step explanation of how LEACH operates and how it addresses the challenges of energy efficiency in wireless sensornetworks.,Analyze
58,Describe in detail the working mechanism of MQTT. Explain thevarious fields in the message format of MQTT,Understanding
59,"Discuss the key principles of designing a RESTful API for IoTdevices. Provide examples of how these principles can be applied inthe context of IoT, and discuss the advantages of using RESTfulAPIs for IoT applications.",Understanding
60,List down the messaging protocol of IoT and explain any 2,Understanding
61,List any two IoT applications in the Education/ Academicdomain. Answer the following with respect to your applications: List the hardware components that can be used to deploy theapplications at CHARUSAT campus. Which protocol is suitable in thelisted applications? Justify.,Understanding
62,What is the keyword used to define a singleton class in Kotlin?,Remembering
63,What is the difference between a property and a field in Kotlin?,Understanding
64,Can an inner class have its own properties and methods in kotlin?,Understanding
65,What is the purpose of the open modifier in Kotlin?,Understanding
66,What is a lambda in Kotlin?,Understanding
67,"What is the purpose of the ""async"" keyword in Dart?",Understanding
68,Which of the following is the correct syntax for a for loop in Dart?,Remembering
69,Which of the following is a characteristic of Dart programming language?,Remembering
70,Who developed the Flutter Framework and continues to maintain it today?,Remembering
71,Which function will return the widgets attached to the screen as a root of the widget tree to be rendered on screen in flutter?,Remembering
72,What is the key configuration file used when building a Flutter project?,Remembering
73,Which component allows us to specify the distance between widgets on the screen in flutter?,Remembering
74,Which widget type allows you to modify its appearance dynamically according to user input in flutter?,Understanding
75,What widget would you use for repeating content in Flutter?,Remembering
76,What is a widget in Flutter?,Understanding
77,How many child widgets can be added to the container widget in flutter?,Remembering
78,TextField widget allows app users to type text into an app in flutter.,Understanding
79,List different types of constructors available in kotlin? Explain them with proper examples.,Understanding
80,Demonstrate importance of Lambdas with example in kotlin.,Apply
81,Discuss function in kotlin. Explain its use with example.,Understanding
82,List types of the loop in kotlin and explain all types of loop with example.,Understanding
83,Explain use of data class with example in kotlin.,Understanding
84,Define list. Explain mutable List and an immutable List with example in kotlin.,Understanding
85,"Create flutter application of calculator (add, subtract, division, multiplication).",Apply
